1.1. Imprime Bonjour UpyLaB !;2.1. Assignations simples;2.2. Moyenne arithmetique;2.3. La regle de trois;2.4. Moyenne arithmetique 2;2.5. Sommets d'un hexagone;2.6. Volume d'une sphere;2.7. Impression d'expressions diverses;2.8. Impressions de textes;3.1. Teste egalite parmi 3 nombres;3.2. Simple test sur un entier a lu;3.3. Teste abc;3.4. Parite;3.5. a diviseur ou divise par b;3.6. Roulette;3.7. Moyenne geometrique;3.8. Polyedres reguliers;3.9. Moyenne d'une suite de nombres;3.10. Petit jeu;3.11. Programme qui evalue sin(x);3.12. Carre de 'X';3.13. Triangle superieur de 'X';3.14. Somme de valeurs lues
1;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
2;6;12;5;3;;4;18;24;1;5;2;2;4;;8;14;12;;;;;
2;6;24;3;7;2;2;3;16;9;2;1;4;18;1;10;7;3;6;3;1;3;2
2;;;;;;;;;;;;;;;;;;;;;;
1;4;2;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
4;2;1;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
5;1;1;1;1;6;1;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1
3;1;2;1;1;2;1;2;3;;3;3;1;2;3;2;2;1;4;;2;4;
3;1;2;4;1;1;1;1;3;2;1;1;1;2;2;1;1;1;4;1;2;2;2
2;1;1;1;1;1;1;2;1;2;1;2;1;6;2;1;1;1;8;3;2;1;1
1;2;1;1;2;1;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
3;2;2;1;1;1;1;1;2;2;1;1;1;1;15;1;4;7;28;8;1;7;1
5;2;29;1;3;15;6;12;8;49;;;;;;;;;;;;;
3;5;15;1;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
4;1;1;1;1;1;4;4;2;1;4;3;1;2;2;1;1;1;11;1;2;2;1
1;7;7;1;5;;;;;;;;;;;;;;;;;;
2;1;1;2;1;2;1;2;1;;;;;;;;;;;;;;
6;2;1;;;;1;1;1;1;;;2;;;;;;;;;;
4;2;1;1;1;5;1;1;1;3;1;1;1;10;2;1;;2;9;1;1;1;1
1;;;;;;;;;;;;;;;;;;;;;;
3;5;4;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;
7;2;1;1;1;3;1;1;2;1;1;3;3;1;4;2;2;1;5;2;1;2;1
3;;;;;;;;;;;;;;;;;;;;;;
5;4;1;3;1;9;5;7;5;2;5;4;3;1;15;4;4;;;;;;
;28;2;3;4;;11;;;15;1;1;;;;;;;;;;;
2;2;1;1;2;2;1;1;2;3;;;;;;;;;;;;;
2;5;3;1;4;6;2;2;6;8;4;1;2;33;11;5;9;2;31;;;;
1;6;;;;1;8;9;2;8;3;4;2;2;;5;32;7;6;;;;
2;2;14;1;4;;;;;;;;;;;;;;;;;;
