1.1. Imprime Bonjour UpyLaB !;2.1. Assignations simples;2.2. Moyenne arithmetique;2.3. La regle de trois;2.4. Moyenne arithmetique 2;2.5. Sommets d'un hexagone;2.6. Volume d'une sphere;2.7. Impression d'expressions diverses;2.8. Impressions de textes;3.1. Teste egalite parmi 3 nombres;3.2. Simple test sur un entier a lu;3.3. Teste abc;3.4. Parite;3.5. a diviseur ou divise par b;3.6. Roulette;3.7. Moyenne geometrique;3.8. Polyedres reguliers;3.9. Moyenne d'une suite de nombres;3.10. Petit jeu;3.11. Programme qui evalue sin(x);3.12. Carre de 'X';3.13. Triangle superieur de 'X';3.14. Somme de valeurs lues
VRAI;;;;;;;;;;;;;;;;;;;;;;
FAUX;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;FAUX;;VRAI;FAUX;VRAI;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX
FAUX;;;;;;;;;;;;;;;;;;;;;;
FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;
FAUX;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;;;;;;;;;;;;;;;;;;;;
FAUX;;;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;;VRAI;VRAI;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;FAUX;;;;;;;;;;;;;
VRAI;VRAI;FAUX;FAUX;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;;
FAUX;VRAI;FAUX;;;;VRAI;FAUX;FAUX;FAUX;;;FAUX;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;;;;;;
;VRAI;VRAI;VRAI;VRAI;;VRAI;;;FAUX;VRAI;VRAI;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;;;
VRAI;VRAI;;;;FAUX;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;FAUX;;VRAI;FAUX;FAUX;FAUX;;;;
VRAI;VRAI;VRAI;VRAI;FAUX;;;;;;;;;;;;;;;;;;
FAUX;;;;;;;;;;;;;;;;;;;;;;
FAUX;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
;;;;;;;;;;;;;;;;;FAUX;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;VRAI;VRAI;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;;FAUX;;FAUX;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;;;;;;;;;;;
FAUX;VRAI;FAUX;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;VRAI;;;FAUX;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;;FAUX;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI
VRAI;;;;;;;;;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;;
VRAI;VRAI;VRAI;VRAI;VRAI;;;;;;;;;;;;;;;;;;
FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;
